Transporteur;Gare origine;Gare origine - code UIC;Destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;NANCY;87141002;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;127
TGV INOUI;LORRAINE TGV;87142109;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;77
TGV INOUI;AVIGNON TGV;87318964;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;116
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ARRAS;87342014;1;Tarif Normal;17;71
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;DOUAI;87345009;1;Tarif Normal;17;76
TGV INOUI;MEUSE TGV;87147322;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17;79
TGV INOUI;EVREUX - NORMANDIE;87387001;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;38
TGV INOUI;MEUSE TGV;87147322;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;44
TGV INOUI;LE MANS;87396002;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17;94
TGV INOUI;COLMAR;87182014;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;173
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;RENNES;87471003;1;Tarif Normal;24;148
TGV INOUI;MULHOUSE VILLE;87182063;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;114
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;REDON;87471300;1;Tarif Normal;24;157
TGV INOUI;STRASBOURG;87212027;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;29;165
TGV INOUI;GUINGAMP;87473207;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;158
TGV INOUI;STRASBOURG;87212027;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;107
TGV INOUI;GUINGAMP;87473207;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;98
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;SAVERNE;87212225;1;Tarif Normal;29;143
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;QUIMPER;87474098;1;Tarif Normal;26;170
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;SAVERNE;87212225;2;Tarif Normal;25;85
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ROSPORDEN;87474155;1;Tarif Normal;26;170
TGV INOUI;LILLE EUROPE;87223263;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;63
TGV INOUI;LORIENT;87476002;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;26;161
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Normal;17;55
TGV INOUI;LORIENT;87476002;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;100
TGV INOUI;NANCY;87141002;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;77
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;BESANCON - F COMTE TGV;87300863;2;Tarif Normal;20;83
TGV INOUI;LE CROISIC;87481788;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;88
TGV INOUI;CHAMPAGNE-ARDENNE;87171926;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17;71
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;FUTUROSCOPE;87324095;1;Tarif Normal;24;130
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;SAVENAY;87481838;2;Tarif Normal;25;88
TGV INOUI;CHAMPAGNE-ARDENNE;87171926;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;44
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ARRAS;87342014;2;Tarif Normal;15;50
TGV INOUI;LES AUBRAIS ORLEANS;87543017;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;13;64
TGV INOUI;COLMAR;87182014;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;112
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;DOUAI;87345009;2;Tarif Normal;15;52
TGV INOUI;LES AUBRAIS ORLEANS;87543017;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;11;44
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;BESANCON - F COMTE TGV;87300863;1;Tarif Normal;24;132
TGV INOUI;LE MANS;87396002;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;60
TGV INOUI;TOURS;87571000;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;65
TGV INOUI;AIX EN PROVENCE TGV;87319012;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;116
TGV INOUI;CAEN;87444000;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;57
TGV INOUI;VENDOME VILLIERS SUR LOIR;87571216;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17;103
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;FUTUROSCOPE;87324095;2;Tarif Normal;20;79
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;REDON;87471300;2;Tarif Normal;20;94
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;POITIERS;87575001;2;Tarif Normal;20;79
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MASSY PALAISEAU;87393579;2;Tarif Normal;15;35
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST BRIEUC;87473009;2;Tarif Normal;20;94
TGV INOUI;ANGOULEME;87583005;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;96
TGV INOUI;CHERBOURG;87444877;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;70
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ROSPORDEN;87474155;2;Tarif Normal;20;103
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MARMANDE;87586545;1;Tarif Normal;31;161
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;RENNES;87471003;2;Tarif Normal;20;90
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;LANDERNEAU;87474239;1;Tarif Normal;26;164
TGV INOUI;LA SOUTERRAINE;87592378;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;117
TGV INOUI;LAMBALLE;87473108;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;94
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MORLAIX;87474338;1;Tarif Normal;26;159
TGV INOUI;BRIVE LA GAILLARDE;87594002;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;29;138
TGV INOUI;BREST;87474007;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;26;164
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MORLAIX;87474338;2;Tarif Normal;20;99
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MONTAUBAN VILLE BOURBON;87611244;1;Tarif Normal;31;199
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;AURAY;87476200;1;Tarif Normal;24;161
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;VANNES;87476606;1;Tarif Normal;24;157
TGV INOUI;CASTELNAUDARY;87615039;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;116
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;AURAY;87476200;2;Tarif Normal;20;100
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST MALO;87478107;1;Tarif Normal;24;159
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;LE CREUSOT MONTCEAU MONTCHANIN;87694109;2;Tarif Normal;20;82
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;VANNES;87476606;2;Tarif Normal;20;97
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST MALO;87478107;2;Tarif Normal;20;95
TGV INOUI;DIJON VILLE;87713040;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;19;107
TGV INOUI;LAVAL;87478404;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;19;129
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST NAZAIRE;87481705;1;Tarif Normal;29;148
TGV INOUI;DOLE VILLE;87713412;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;79
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;NANTES;87481002;2;Tarif Normal;20;88
TGV INOUI;PORNICHET;87481747;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;29;148
TGV INOUI;BESANCON VIOTTE;87718007;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;132
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST NAZAIRE;87481705;2;Tarif Normal;25;88
TGV INOUI;JUVISY;87545244;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17;55
TGV INOUI;BESANCON VIOTTE;87718007;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;83
TGV INOUI;ANGERS ST LAUD;87484006;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;124
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST PIERRE DES CORPS;87571240;2;Tarif Normal;15;65
TGV INOUI;MOUCHARD;87718833;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;126
TGV INOUI;LORRAINE TGV;87142109;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;127
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;NIORT;87485300;1;Tarif Normal;24;145
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;POITIERS;87575001;1;Tarif Normal;24;130
TGV INOUI;MACON LOCHE TGV;87725705;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;141
